Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Palestine,https://twitter.com/raviagrawal3/status/1721537246187364503,Izlamic TerroristReload,https://twitter.com/raviagrawal3,2023-11-06T14:37:18.000Z,"USA Palestine IsraelMuslim protesters at a pro-Palestine terrorist Hamas rally in Washington DC: ""My message to President Biden is, I voted for you, and I regret it"".",,False,6,52,96,2.4K
Post&amp;Comment,Pro Palestine,https://twitter.com/NuraMuh75683531/status/1721185973512417540,Nura MuhammadReload,https://twitter.com/NuraMuh75683531,2023-11-05T15:21:28.000Z,Another pro-palestine  from radio Canada  montreal with thousands of people all about free palestine  cease-fire #GazaGenocide #Hamburg #Genocide_in_Gaza #CeasefireForGazaNOW #FreePalestineNow #Israel #GazaGenocide #PalestinianLivesMatter,,False,30,34,70,12K
Post&amp;Comment,Pro Palestine,https://twitter.com/theheraldsun/status/1721731804858859544,Herald Sun,https://twitter.com/theheraldsun,2023-11-07T03:30:25.000Z,"Pro-Palestine protesters have descended on Flemington Racecourse, reportedly blocking racegoers at an entrance to the Melbourne Cup. Full details: https://bit.ly/3Mx6MeL",,False,74,27,50,26K
Post&amp;Comment,Pro Palestine,https://twitter.com/fraubalhorn/status/1721080535278129448,Loren BalhornKatrin Eigendorf,https://twitter.com/fraubalhorn,2023-11-05T08:22:30.000Z,"Lead international correspondent for Germany’s second public broadcaster saying pro-Palestine demonstrations are actually “an attack on our state, our democracy” and calling for them to be repressed.",,False,9,61,222,19K
Post&amp;Comment,Pro Palestine,https://twitter.com/SaveBritain_/status/1721790821538652363,Save Britain,https://twitter.com/SaveBritain_,2023-11-07T07:24:55.000Z,"Former Hamas chief ‘behind pro-Palestine Armistice Day protests’Muhammad Kathem Sawalha is a founder of the Muslim Association of Britain, one of six groups organising the London march on Nov 11",https://pbs.twimg.com/card_img/1721657253432840192/nvVBfQz-?format=jpg&name=small,False,5,18,9,401
Post&amp;Comment,Pro Palestine,https://twitter.com/_WalidTaha/status/1720952070742974933,Walid TahaCensored Men,https://twitter.com/_WalidTaha,2023-11-04T23:52:02.000Z,Former IDF soldier tears up when asked why he’s at a Pro-Palestine rally.“I just saw a Mafia run country.”,,False,2,104,146,4.2K
Post&amp;Comment,Pro Palestine,https://twitter.com/ChaimaB/status/1720913492792721862,Chaima Bouhlel,https://twitter.com/ChaimaB,2023-11-04T21:18:44.000Z,In 2023....(Picture from a London pro-Palestine protest - 26 Oct),,False,,95,220,10K
Post&amp;Comment,Pro Palestine,https://twitter.com/ChaimaB/status/1720913492792721862,Chaima Bouhlel,https://twitter.com/ChaimaB,2023-11-04T21:18:44.000Z,In 2023....(Picture from a London pro-Palestine protest - 26 Oct),https://pbs.twimg.com/media/F-HpswFXkAACesr?format=jpg&name=small,False,,95,220,10K
Post&amp;Comment,Pro Palestine,https://twitter.com/PoliticsPollss/status/1720455865323442237,Politics Polls,https://twitter.com/PoliticsPollss,2023-11-03T15:00:17.000Z,Do you think the Metropolitan Police should halt pro-Palestine protests taking place in central London on Remembrance weekend? #ArmisticeDay,,False,42,200,77,8K
Post&amp;Comment,Pro Palestine,https://twitter.com/GlasgowGuardian/status/1721572849872257130,The Glasgow Guardian,https://twitter.com/GlasgowGuardian,2023-11-06T16:58:47.000Z,"BREAKING: Over a hundred pro-Palestine protesters have begun a sit-in at Glasgow’s Queen Street station to demand an immediate ceasefire. The group can be heard chanting: “Stop the killing, stop the crime: Freedom for Palestine”Video credit: @AthinaBohner",,False,6,40,96,5.9K
Post&amp;Comment,Pro Palestine,https://twitter.com/festa197/status/1720122534664769935,BOD ,https://twitter.com/festa197,2023-11-02T16:55:45.000Z,Fury as 'ONE MILLION' pro-Palestine protesters set to march through London on Armistice Day #Antisemitism,https://pbs.twimg.com/card_img/1720122440083238912/7Iz8u2te?format=jpg&name=small,False,45,81,167,6.8K
Post&amp;Comment,Pro Palestine,https://twitter.com/yoeltwt/status/1720756671754969524,yoel⸆⸉,https://twitter.com/yoeltwt,2023-11-04T10:55:35.000Z,"I am an Israeli.I am:Pro-Israel Pro-Palestine Pro-Peace Pro-Humanitarianism Pro-Free Speech Pro-Freedom of Religion Pro-LGBTQ If this shocks you, maybe reconsider your view of the world.@aziz0nomics #ProPeace",,False,8,38,320,10K
Post&amp;Comment,Pro Palestine,https://twitter.com/NileGardiner/status/1721673056450445596,Nile Gardiner,https://twitter.com/NileGardiner,,How on Earth is this former Hamas chief still living in a council house in London? He should be under arrest and deported immediately. Former Hamas chief ‘behind pro-Palestine Armistice Day protests’,https://pbs.twimg.com/card_img/1721657253432840192/nvVBfQz-?format=jpg&name=small,False,46,471,1.4K,35K
Post&amp;Comment,Pro Palestine,https://twitter.com/Suitandtie9999/status/1721335206689591519,Suit and tie,https://twitter.com/Suitandtie9999,2023-11-06T01:14:28.000Z,"Beyond farcical.In the last 3 years as Auckland central MP Chloe Swarbrick was almost invisible when it came to discussing violence in the CBD. On Saturday, she told the crowd at a Pro Palestine rally she would hold the Auckland War Memorial Museum accountable for lighting up in…",,False,11,27,141,4.6K
Post&amp;Comment,Pro Palestine,https://twitter.com/AFpost/status/1721050609712079031,AF Post,https://twitter.com/AFpost,2023-11-05T06:23:35.000Z,"Pro-Palestine protestor places Keffiyeh and Arafat shirt on Benjamin Franklin statue in Washington, DC.Follow: @AFpost",,False,32,20,99,7.8K
Post&amp;Comment,Pro Palestine,https://twitter.com/taliaotg/status/1721588168489664545,Talia Jane ,https://twitter.com/taliaotg,2023-11-06T17:59:39.000Z,"This clip, filmed by @Copwatch_CPU on Saturday, was a man waving an Israel flag as a pro-Palestine march approached in NYC. Cops moved him away and surrounded him and told him to put the flag away because he was instigating.“What are you doing?!”",,False,1,4,24,1.3K
Post&amp;Comment,Pro Palestine,https://twitter.com/ChrisNineham/status/1721959853009023349,Chris Nineham,https://twitter.com/ChrisNineham,2023-11-07T18:36:36.000Z,"When you stand firm, often you win.Well done everyone. See you all on Saturday. #CeasefireNow‘Police say no grounds to ban march’",https://pbs.twimg.com/card_img/1721954193832067075/6B54uhr7?format=jpg&name=small,False,7,81,186,4.4K
Post&amp;Comment,Pro Palestine,https://twitter.com/Kimmi520381244/status/1721887866241036519,Kimmi Diamond ,https://twitter.com/Kimmi520381244,2023-11-07T13:50:33.000Z,Fears that far-Right hooligans will clash with pro-Palestine march on Armistice Day grow after Tommy Robinson returns to Twitter to issue chilling rallying cry to his supporters | Daily Mail OnlineTommy Tommy Tommy,https://pbs.twimg.com/card_img/1721849289968615424/-7E413qc?format=jpg&name=small,False,6,13,30,1.4K
Post&amp;Comment,Pro Palestine,https://twitter.com/adycross725/status/1721619685257498638,Ady ,https://twitter.com/adycross725,2023-11-06T20:04:53.000Z,Why are they being asked to cancel the march?It is due to start nearly two hours after 1100 on the 11/11It is not routing anywhere near the CenotaphIt is a peace protest at a time the majority of us are thinking about peace (except Bravermans thugs),https://pbs.twimg.com/card_img/1721581982356840448/GfqKawt7?format=jpg&name=small,False,3,13,27,419
Post&amp;Comment,Pro Palestine,https://twitter.com/FrankLeeBrian/status/1721662242020544755,FrankLeeBrianFrankLeeBrian,https://twitter.com/FrankLeeBrian,2023-11-06T22:54:00.000Z,"Former Hamas chief ‘behind pro-Palestine Armistice Day protests’ https://telegraph.co.uk/news/2023/11/06/former-hamas-chief-behind-pro-palestine-armistice-day-march/… I mentioned him a while ago, in his cozy little taxpayer subsidised former council house in Colindale.... arrived on false passport and is now a British citizen",,False,4,34,38,2.1K
Post&amp;Comment,Pro Palestine,https://twitter.com/windsorp1886/status/1721949406994293149,Bill McGallows,https://twitter.com/windsorp1886,2023-11-07T17:55:05.000Z,"Peaceful protests... Absolutely disgusting!Poppy seller veteran, 78, is 'punched by pro-Palestine protesters'",https://pbs.twimg.com/card_img/1721656094768963585/CYeOzJ8X?format=jpg&name=small,False,9,9,26,1.8K
Post&amp;Comment,Pro Palestine,https://twitter.com/toronto_morning/status/1721550261355794701,Toronto Morning,https://twitter.com/toronto_morning,2023-11-06T15:29:01.000Z,‘Deport them all’ Hamilton cardiologist and McMaster professor under fire for comment about pro-Palestine protest #torontomorning #Toronto,https://pbs.twimg.com/card_img/1721358717055021056/8t08U41D?format=png&name=small,False,58,20,75,3.4K
Post&amp;Comment,Pro Palestine,https://twitter.com/corbyn_project/status/1721975688087961874,Peace & Justice Project,https://twitter.com/corbyn_project,2023-11-07T19:39:31.000Z,"Despite the government’s divisive rhetoric, there are no grounds for the Metropolitan Police to ban the planned march for a #CeasefireNOW this Saturday.We will march for an end to the siege of Gaza and an end to the occupation of Palestine.",https://pbs.twimg.com/card_img/1721953710031462401/4aBxU4xK?format=jpg&name=small,False,31,188,377,7.8K
Post&amp;Comment,Pro Palestine,https://twitter.com/zaidelles/status/1720310958503956583,— cole.,https://twitter.com/zaidelles,2023-11-03T05:24:28.000Z,follow  of explicitly pro-palestine corpsetwt accounts ;,,False,5,57,157,7.4K
Post&amp;Comment,Pro Palestine,https://twitter.com/snowleopardess/status/1721972061348745559,Anne Greensmith ,https://twitter.com/snowleopardess,2023-11-07T19:25:06.000Z,Scotland Yard does not believe it has grounds to support a ban on the planned pro-Palestine demonstration through central London on Armistice Day.#Gaza,https://pbs.twimg.com/card_img/1721953710031462401/4aBxU4xK?format=jpg&name=small,False,2,4,10,351
